location,spp,area,level
Park Franka,53,0.1,локація
Vysokyy Zamok,53,1.08,локація
Park 700 richya,49,0.18,локація
Lychakivskyy cwyntar,58,0.34,локація
Pohulianka youth center,34,0.15,локація
Park Poulianka,54,1.15,локація
Park Khmelnytskoho,44,0.2,локація
Stryskiy park,53,0.58,локація
Bodnarivka park,24,0.09,локація
Park Ivana Pavla II,28,0.53,локація
Sokylnyky sad,38,0.25,локація
Dvirtseva plosza,11,0.04,локація
Levandivskyy park,10,0.08,локація
Sknyliv park,25,0.56,локація
Velyki Hrybovychi ponds,82,0.55,локація
LNAU dendropark,78,0.26,локація
Dubliany pond,36,0.05,локація
NA,141,450,район
NA,33,430,район
NA,24,400,район
NA,108,900,район
NA,86,910,район
NA,91,920,район
NA,221,950,район
NA,193,1350,район
NA,164,940,район
NA,139,930,район
NA,65,800,район
NA,30,400,район
NA,228,470,район
NA,71,460,район
NA,178,480,район
NA,85,900,район
NA,72,850,район
NA,188,460,район
NA,123,440,район
Lviv oblast,305,21831,регіон
Zakarpatska oblast,236,12777,регіон
Ivano-Frankivska oblast,249,13928,регіон
Ternopilska oblast,224,13823,регіон
Chernivetska oblast,191,8097,регіон
Rivnenska oblast,259,20047,регіон
Volynska oblast,251,20143,регіон
Zhytomyrska oblast,234,29832,регіон
Kyivska oblast,235,28131,регіон
Kyiv city,268,835,район
Ukraine,389,603700,країна
Poland,462,312696,країна
Germany,482,357596,країна
Slovakia,377,49035,країна
Czech Republic,403,78871,країна
Italy,478,301340,країна
France,543,543941,країна
UK,635,244381,країна
Neotropics,3945,17000000,провінція
Afrotropics,2300,20000000,провінція
Indomayalan,1972,15000000,провінція
Australasia,1862,12000000,провінція
Palearctic,1095,55000000,провінція
Nearctic,877,40000000,провінція
World,10957,150000000,планета
World,10957,150000000,планета
World,10957,150000000,планета
World,10957,150000000,планета
World,10957,150000000,планета
