temp,long,lat,prec,acceptable,occur
5.95008326,32.25,52.42,616,FALSE,0
5.92054176,32.42,52.42,620,FALSE,0
5.84955215,32.58,52.42,626,FALSE,0
5.72848988,32.75,52.42,633,FALSE,0
5.7154479,32.92,52.42,640,FALSE,0
5.76664591,33.08,52.42,640,FALSE,0
5.88894796,33.25,52.42,637,FALSE,0
5.92711449,33.42,52.42,639,FALSE,0
5.94591665,33.58,52.42,637,FALSE,0
5.907125,33.75,52.42,640,FALSE,0
5.82999992,33.92,52.42,640,FALSE,0
5.76116657,34.08,52.42,640,FALSE,0
6.56762505,30.92,52.25,595,FALSE,0
6.47823954,31.08,52.25,596,FALSE,0
6.37594795,31.25,52.25,599,FALSE,0
6.31662512,31.42,52.25,601,FALSE,0
6.25812483,31.58,52.25,600,FALSE,0
6.20496893,31.75,52.25,601,FALSE,0
6.19449997,31.92,52.25,606,FALSE,0
6.09302092,32.08,52.25,614,FALSE,0
5.97979164,32.25,52.25,619,FALSE,0
5.97651052,32.42,52.25,621,FALSE,0
5.89835405,32.58,52.25,626,FALSE,0
5.83843756,32.75,52.25,635,FALSE,0
5.7913022,32.92,52.25,645,FALSE,0
5.76205206,33.08,52.25,648,FALSE,0
5.87759399,33.25,52.25,644,FALSE,0
5.98201036,33.42,52.25,639,FALSE,0
5.92255211,33.58,52.25,636,FALSE,0
5.76018763,33.75,52.25,636,FALSE,0
5.59882307,33.92,52.25,639,FALSE,0
5.60411453,34.08,52.25,637,FALSE,0
5.69465637,34.25,52.25,634,FALSE,0
6.68357277,24.58,52.08,586,FALSE,0
6.71377087,24.75,52.08,591,FALSE,0
6.72822905,24.92,52.08,590,FALSE,0
6.83505201,25.08,52.08,591,FALSE,0
6.90299988,25.25,52.08,592,FALSE,0
6.96504164,25.42,52.08,592,FALSE,0
7.02978134,25.58,52.08,591,FALSE,0
7.02991676,25.75,52.08,589,FALSE,0
7.04399967,25.92,52.08,587,FALSE,0
7.13583326,26.08,52.08,583,FALSE,0
6.63397932,30.75,52.08,586,FALSE,0
6.63090611,30.92,52.08,592,FALSE,0
6.50764608,31.08,52.08,598,FALSE,0
6.40293741,31.25,52.08,601,FALSE,0
6.31367731,31.42,52.08,603,FALSE,0
6.28466654,31.58,52.08,604,FALSE,0
6.29762506,31.75,52.08,607,FALSE,0
6.32066631,31.92,52.08,608,FALSE,0
6.2539897,32.08,52.08,612,FALSE,0
6.18315601,32.25,52.08,618,FALSE,0
6.06344795,32.42,52.08,625,FALSE,0
5.96157265,32.58,52.08,629,FALSE,0
5.8914060599999996,32.75,52.08,644,FALSE,0
5.85005236,32.92,52.08,654,FALSE,0
5.8571043,33.08,52.08,659,FALSE,0
5.9911561,33.25,52.08,647,FALSE,0
5.99871874,33.42,52.08,641,FALSE,0
5.83492708,33.58,52.08,639,FALSE,0
5.64206266,33.75,52.08,637,FALSE,0
5.49048948,33.92,52.08,634,FALSE,0
5.50236464,34.08,52.08,632,FALSE,0
5.57253122,34.25,52.08,634,FALSE,0
7.21377087,24.25,51.92,578,FALSE,0
7.20409393,24.42,51.92,583,FALSE,0
7.20094776,24.58,51.92,586,FALSE,0
7.23911476,24.75,51.92,584,FALSE,0
7.25803137,24.92,51.92,588,FALSE,0
7.30285406,25.08,51.92,590,FALSE,0
7.34950018,25.25,51.92,592,FALSE,0
7.45162487,25.42,51.92,591,FALSE,0
7.46467686,25.58,51.92,591,FALSE,0
7.43243742,25.75,51.92,588,FALSE,0
7.41132307,25.92,51.92,586,FALSE,0
7.35631227,26.08,51.92,582,FALSE,0
7.29193735,26.25,51.92,582,FALSE,0
7.21532297,26.42,51.92,586,FALSE,0
7.11401033,26.58,51.92,594,FALSE,0
7.02026033,26.75,51.92,600,FALSE,0
6.93433332,26.92,51.92,608,FALSE,0
6.80741644,27.08,51.92,613,FALSE,0
6.68690634,27.25,51.92,621,FALSE,0
6.56424999,30.58,51.92,581,FALSE,0
6.63938522,30.75,51.92,582,FALSE,0
6.60942698,30.92,51.92,589,FALSE,0
6.49269772,31.08,51.92,595,FALSE,0
6.40335417,31.25,51.92,603,FALSE,0
6.37908316,31.42,51.92,604,FALSE,0
6.42241669,31.58,51.92,606,FALSE,0
6.4130311,31.75,51.92,608,FALSE,0
6.46413517,31.92,51.92,612,FALSE,0
6.42069817,32.08,51.92,616,FALSE,0
6.33433342,32.25,51.92,622,FALSE,0
6.24789572,32.42,51.92,627,FALSE,0
6.19647932,32.58,51.92,635,FALSE,0
6.09761477,32.75,51.92,647,FALSE,0
6.09745836,32.92,51.92,664,FALSE,0
6.20210409,33.08,51.92,663,FALSE,0
6.30061436,33.25,51.92,652,FALSE,0
6.37116671,33.42,51.92,642,FALSE,0
6.26536465,33.58,51.92,635,FALSE,0
6.14265633,33.75,51.92,627,FALSE,0
6.11073923,33.92,51.92,623,FALSE,0
6.06977081,34.08,51.92,624,FALSE,0
6.00429153,34.25,51.92,630,FALSE,0
6.03704166,34.42,51.92,633,FALSE,0
6.11482286,34.58,51.92,635,FALSE,0
7.49898958,23.58,51.75,534,FALSE,0
7.39483309,23.75,51.75,547,FALSE,0
7.35599995,23.92,51.75,560,FALSE,0
7.31296873,24.08,51.75,569,FALSE,0
7.24295855,24.25,51.75,575,FALSE,0
7.19281244,24.42,51.75,581,FALSE,0
7.24782276,24.58,51.75,585,FALSE,0
7.30419779,24.75,51.75,585,FALSE,0
7.37460423,24.92,51.75,586,FALSE,0
7.46624994,25.08,51.75,593,FALSE,0
7.57188559,25.25,51.75,596,FALSE,0
7.65109396,25.42,51.75,595,FALSE,0
7.65114594,25.58,51.75,592,FALSE,0
7.60363531,25.75,51.75,591,FALSE,0
7.51522923,25.92,51.75,589,FALSE,0
7.4703126,26.08,51.75,588,FALSE,0
7.39720821,26.25,51.75,590,FALSE,0
7.22452068,26.42,51.75,593,FALSE,0
7.14568758,26.58,51.75,600,FALSE,0
7.10123968,26.75,51.75,606,FALSE,0
6.96653128,26.92,51.75,613,FALSE,0
6.83373976,27.08,51.75,622,FALSE,0
6.66795826,27.25,51.75,629,FALSE,0
6.56052065,27.42,51.75,638,FALSE,0
6.44578123,27.58,51.75,645,FALSE,0
6.35429192,27.75,51.75,651,FALSE,0
6.31272936,27.92,51.75,642,FALSE,0
6.32573938,28.08,51.75,634,FALSE,0
6.40302086,28.25,51.75,623,FALSE,0
6.4779377,28.42,51.75,620,FALSE,0
6.54385424,28.58,51.75,624,FALSE,0
6.78196859,28.92,51.75,631,FALSE,0
6.83785391,29.08,51.75,633,FALSE,0
6.88120842,29.25,51.75,631,FALSE,0
6.72419786,30.42,51.75,571,FALSE,0
6.79290628,30.58,51.75,578,FALSE,0
6.64670849,30.75,51.75,584,FALSE,0
6.56158352,30.92,51.75,592,FALSE,0
6.53647947,31.08,51.75,595,FALSE,0
6.58505201,31.25,51.75,597,FALSE,0
6.57835436,31.42,51.75,604,FALSE,0
6.60551023,31.58,51.75,605,FALSE,0
6.61517715,31.75,51.75,605,FALSE,0
6.56640625,31.92,51.75,614,FALSE,0
6.47854185,32.08,51.75,616,FALSE,0
6.44676018,32.25,51.75,622,FALSE,0
6.34612513,32.42,51.75,627,FALSE,0
6.33346891,32.58,51.75,637,FALSE,0
6.26154184,32.75,51.75,648,FALSE,0
6.20848942,32.92,51.75,667,FALSE,0
6.33825016,33.08,51.75,661,FALSE,0
6.45144796,33.25,51.75,649,FALSE,0
6.39233303,33.42,51.75,641,FALSE,0
6.25826073,33.58,51.75,633,FALSE,0
6.20820856,33.75,51.75,624,FALSE,0
6.22269821,33.92,51.75,615,FALSE,0
6.22552109,34.08,51.75,616,FALSE,0
6.30401039,34.25,51.75,621,FALSE,0
6.30947924,34.42,51.75,630,FALSE,0
6.27874994,34.58,51.75,635,FALSE,0
7.49779177,23.42,51.58,527,FALSE,0
7.52757263,23.58,51.58,528,FALSE,0
7.42278099,23.75,51.58,542,FALSE,0
7.39909363,23.92,51.58,554,FALSE,0
7.31264591,24.08,51.58,567,FALSE,0
7.27734375,24.25,51.58,574,FALSE,0
7.22441673,24.42,51.58,578,FALSE,0
7.19108343,24.58,51.58,585,FALSE,0
7.27496862,24.75,51.58,585,FALSE,0
7.41091681,24.92,51.58,592,FALSE,0
7.47398949,25.08,51.58,596,FALSE,0
7.61655188,25.25,51.58,597,FALSE,0
7.71697903,25.42,51.58,601,FALSE,0
7.70186472,25.58,51.58,603,FALSE,0
7.67887497,25.75,51.58,601,FALSE,0
7.64054155,25.92,51.58,597,FALSE,0
7.52038527,26.08,51.58,596,FALSE,0
7.39503145,26.25,51.58,599,FALSE,0
7.27978134,26.42,51.58,601,FALSE,0
7.28371906,26.58,51.58,606,FALSE,0
7.18534374,26.75,51.58,613,FALSE,0
6.95726061,26.92,51.58,619,FALSE,0
6.83725023,27.08,51.58,625,FALSE,0
6.68624973,27.25,51.58,633,FALSE,0
6.55439568,27.42,51.58,640,FALSE,0
6.41116667,27.58,51.58,644,FALSE,0
6.32083321,27.75,51.58,647,FALSE,0
6.3449688,27.92,51.58,643,FALSE,0
6.33848953,28.08,51.58,638,FALSE,0
6.3679685599999996,28.25,51.58,629,FALSE,0
6.41722918,28.42,51.58,628,FALSE,0
6.52059364,28.58,51.58,630,FALSE,0
6.65855217,28.75,51.58,632,FALSE,0
6.743927,28.92,51.58,634,FALSE,0
6.80744791,29.08,51.58,636,FALSE,0
6.8772707,29.25,51.58,636,FALSE,0
6.90204144,29.42,51.58,631,FALSE,0
6.92939568,29.58,51.58,625,FALSE,0
6.96001053,29.75,51.58,614,FALSE,0
6.95215607,29.92,51.58,601,FALSE,0
6.88607264,30.08,51.58,590,FALSE,0
6.86377096,30.25,51.58,579,FALSE,0
6.8828125,30.42,51.58,577,FALSE,0
6.92574978,30.58,51.58,582,FALSE,0
6.71703148,30.75,51.58,590,FALSE,0
6.63261461,30.92,51.58,594,FALSE,0
6.67615652,31.08,51.58,595,FALSE,0
6.79605198,31.25,51.58,597,FALSE,0
6.79372931,31.42,51.58,596,FALSE,0
6.77999973,31.58,51.58,602,FALSE,0
6.68330193,31.75,51.58,609,FALSE,0
6.60773945,31.92,51.58,614,FALSE,0
6.55230188,32.08,51.58,618,FALSE,0
6.58279181,32.25,51.58,619,FALSE,0
6.55254173,32.42,51.58,619,FALSE,0
