VALUE,long,lat
616.00000000,32.250,52.417
620.00000000,32.417,52.417
626.00000000,32.583,52.417
633.00000000,32.750,52.417
640.00000000,32.917,52.417
640.00000000,33.083,52.417
637.00000000,33.250,52.417
639.00000000,33.417,52.417
637.00000000,33.583,52.417
640.00000000,33.750,52.417
640.00000000,33.917,52.417
640.00000000,34.083,52.417
595.00000000,30.917,52.250
596.00000000,31.083,52.250
599.00000000,31.250,52.250
601.00000000,31.417,52.250
600.00000000,31.583,52.250
601.00000000,31.750,52.250
606.00000000,31.917,52.250
614.00000000,32.083,52.250
619.00000000,32.250,52.250
621.00000000,32.417,52.250
626.00000000,32.583,52.250
635.00000000,32.750,52.250
645.00000000,32.917,52.250
648.00000000,33.083,52.250
644.00000000,33.250,52.250
639.00000000,33.417,52.250
636.00000000,33.583,52.250
636.00000000,33.750,52.250
639.00000000,33.917,52.250
637.00000000,34.083,52.250
634.00000000,34.250,52.250
586.00000000,24.583,52.083
591.00000000,24.750,52.083
590.00000000,24.917,52.083
591.00000000,25.083,52.083
592.00000000,25.250,52.083
592.00000000,25.417,52.083
591.00000000,25.583,52.083
589.00000000,25.750,52.083
587.00000000,25.917,52.083
583.00000000,26.083,52.083
586.00000000,30.750,52.083
592.00000000,30.917,52.083
598.00000000,31.083,52.083
601.00000000,31.250,52.083
603.00000000,31.417,52.083
604.00000000,31.583,52.083
607.00000000,31.750,52.083
608.00000000,31.917,52.083
612.00000000,32.083,52.083
618.00000000,32.250,52.083
625.00000000,32.417,52.083
629.00000000,32.583,52.083
644.00000000,32.750,52.083
654.00000000,32.917,52.083
659.00000000,33.083,52.083
647.00000000,33.250,52.083
641.00000000,33.417,52.083
639.00000000,33.583,52.083
637.00000000,33.750,52.083
634.00000000,33.917,52.083
632.00000000,34.083,52.083
634.00000000,34.250,52.083
578.00000000,24.250,51.917
583.00000000,24.417,51.917
586.00000000,24.583,51.917
584.00000000,24.750,51.917
588.00000000,24.917,51.917
590.00000000,25.083,51.917
592.00000000,25.250,51.917
591.00000000,25.417,51.917
591.00000000,25.583,51.917
588.00000000,25.750,51.917
586.00000000,25.917,51.917
582.00000000,26.083,51.917
582.00000000,26.250,51.917
586.00000000,26.417,51.917
594.00000000,26.583,51.917
600.00000000,26.750,51.917
608.00000000,26.917,51.917
613.00000000,27.083,51.917
621.00000000,27.250,51.917
581.00000000,30.583,51.917
582.00000000,30.750,51.917
589.00000000,30.917,51.917
595.00000000,31.083,51.917
603.00000000,31.250,51.917
604.00000000,31.417,51.917
606.00000000,31.583,51.917
608.00000000,31.750,51.917
612.00000000,31.917,51.917
616.00000000,32.083,51.917
622.00000000,32.250,51.917
627.00000000,32.417,51.917
635.00000000,32.583,51.917
647.00000000,32.750,51.917
664.00000000,32.917,51.917
663.00000000,33.083,51.917
652.00000000,33.250,51.917
642.00000000,33.417,51.917
635.00000000,33.583,51.917
627.00000000,33.750,51.917
623.00000000,33.917,51.917
624.00000000,34.083,51.917
630.00000000,34.250,51.917
633.00000000,34.417,51.917
635.00000000,34.583,51.917
534.00000000,23.583,51.750
547.00000000,23.750,51.750
560.00000000,23.917,51.750
569.00000000,24.083,51.750
575.00000000,24.250,51.750
581.00000000,24.417,51.750
585.00000000,24.583,51.750
585.00000000,24.750,51.750
586.00000000,24.917,51.750
593.00000000,25.083,51.750
596.00000000,25.250,51.750
595.00000000,25.417,51.750
592.00000000,25.583,51.750
591.00000000,25.750,51.750
589.00000000,25.917,51.750
588.00000000,26.083,51.750
590.00000000,26.250,51.750
593.00000000,26.417,51.750
600.00000000,26.583,51.750
606.00000000,26.750,51.750
613.00000000,26.917,51.750
622.00000000,27.083,51.750
629.00000000,27.250,51.750
638.00000000,27.417,51.750
645.00000000,27.583,51.750
651.00000000,27.750,51.750
642.00000000,27.917,51.750
634.00000000,28.083,51.750
623.00000000,28.250,51.750
620.00000000,28.417,51.750
624.00000000,28.583,51.750
631.00000000,28.917,51.750
633.00000000,29.083,51.750
631.00000000,29.250,51.750
571.00000000,30.417,51.750
578.00000000,30.583,51.750
584.00000000,30.750,51.750
592.00000000,30.917,51.750
595.00000000,31.083,51.750
597.00000000,31.250,51.750
604.00000000,31.417,51.750
605.00000000,31.583,51.750
605.00000000,31.750,51.750
614.00000000,31.917,51.750
616.00000000,32.083,51.750
622.00000000,32.250,51.750
627.00000000,32.417,51.750
637.00000000,32.583,51.750
648.00000000,32.750,51.750
667.00000000,32.917,51.750
661.00000000,33.083,51.750
649.00000000,33.250,51.750
641.00000000,33.417,51.750
633.00000000,33.583,51.750
624.00000000,33.750,51.750
615.00000000,33.917,51.750
616.00000000,34.083,51.750
621.00000000,34.250,51.750
630.00000000,34.417,51.750
635.00000000,34.583,51.750
527.00000000,23.417,51.583
528.00000000,23.583,51.583
542.00000000,23.750,51.583
554.00000000,23.917,51.583
567.00000000,24.083,51.583
574.00000000,24.250,51.583
578.00000000,24.417,51.583
585.00000000,24.583,51.583
585.00000000,24.750,51.583
592.00000000,24.917,51.583
596.00000000,25.083,51.583
597.00000000,25.250,51.583
601.00000000,25.417,51.583
603.00000000,25.583,51.583
601.00000000,25.750,51.583
597.00000000,25.917,51.583
596.00000000,26.083,51.583
599.00000000,26.250,51.583
601.00000000,26.417,51.583
606.00000000,26.583,51.583
613.00000000,26.750,51.583
619.00000000,26.917,51.583
625.00000000,27.083,51.583
633.00000000,27.250,51.583
640.00000000,27.417,51.583
644.00000000,27.583,51.583
647.00000000,27.750,51.583
643.00000000,27.917,51.583
638.00000000,28.083,51.583
629.00000000,28.250,51.583
628.00000000,28.417,51.583
630.00000000,28.583,51.583
632.00000000,28.750,51.583
634.00000000,28.917,51.583
636.00000000,29.083,51.583
636.00000000,29.250,51.583
631.00000000,29.417,51.583
625.00000000,29.583,51.583
614.00000000,29.750,51.583
601.00000000,29.917,51.583
590.00000000,30.083,51.583
579.00000000,30.250,51.583
577.00000000,30.417,51.583
582.00000000,30.583,51.583
590.00000000,30.750,51.583
594.00000000,30.917,51.583
595.00000000,31.083,51.583
597.00000000,31.250,51.583
596.00000000,31.417,51.583
602.00000000,31.583,51.583
609.00000000,31.750,51.583
614.00000000,31.917,51.583
618.00000000,32.083,51.583
619.00000000,32.250,51.583
619.00000000,32.417,51.583
621.00000000,32.583,51.583
630.00000000,32.750,51.583
639.00000000,32.917,51.583
640.00000000,33.083,51.583
637.00000000,33.250,51.583
635.00000000,33.417,51.583
627.00000000,33.583,51.583
618.00000000,33.750,51.583
609.00000000,33.917,51.583
613.00000000,34.083,51.583
624.00000000,34.250,51.583
629.00000000,34.417,51.583
536.00000000,23.583,51.417
546.00000000,23.750,51.417
558.00000000,23.917,51.417
573.00000000,24.083,51.417
579.00000000,24.250,51.417
583.00000000,24.417,51.417
584.00000000,24.583,51.417
589.00000000,24.750,51.417
594.00000000,24.917,51.417
601.00000000,25.083,51.417
604.00000000,25.250,51.417
608.00000000,25.417,51.417
613.00000000,25.583,51.417
608.00000000,25.750,51.417
604.00000000,25.917,51.417
605.00000000,26.083,51.417
601.00000000,26.250,51.417
605.00000000,26.417,51.417
609.00000000,26.583,51.417
616.00000000,26.750,51.417
624.00000000,26.917,51.417
630.00000000,27.083,51.417
637.00000000,27.250,51.417
644.00000000,27.417,51.417
650.00000000,27.583,51.417
650.00000000,27.750,51.417
642.00000000,27.917,51.417
642.00000000,28.083,51.417
642.00000000,28.250,51.417
635.00000000,28.417,51.417
635.00000000,28.583,51.417
636.00000000,28.750,51.417
640.00000000,28.917,51.417
643.00000000,29.083,51.417
646.00000000,29.250,51.417
645.00000000,29.417,51.417
636.00000000,29.583,51.417
620.00000000,29.750,51.417
610.00000000,29.917,51.417
595.00000000,30.083,51.417
585.00000000,30.250,51.417
584.00000000,30.417,51.417
587.00000000,30.583,51.417
594.00000000,30.750,51.417
597.00000000,30.917,51.417
598.00000000,31.083,51.417
595.00000000,31.250,51.417
595.00000000,31.417,51.417
601.00000000,31.583,51.417
605.00000000,31.750,51.417
609.00000000,31.917,51.417
612.00000000,32.083,51.417
611.00000000,32.250,51.417
611.00000000,32.417,51.417
613.00000000,32.583,51.417
614.00000000,32.750,51.417
617.00000000,32.917,51.417
626.00000000,33.083,51.417
624.00000000,33.250,51.417
620.00000000,33.417,51.417
617.00000000,33.583,51.417
611.00000000,33.750,51.417
611.00000000,33.917,51.417
615.00000000,34.083,51.417
618.00000000,34.250,51.417
620.00000000,34.417,51.417
628.00000000,34.583,51.417
624.00000000,34.750,51.417
626.00000000,34.917,51.417
633.00000000,35.083,51.417
547.00000000,23.583,51.250
558.00000000,23.750,51.250
572.00000000,23.917,51.250
583.00000000,24.083,51.250
589.00000000,24.250,51.250
593.00000000,24.417,51.250
588.00000000,24.583,51.250
591.00000000,24.750,51.250
597.00000000,24.917,51.250
601.00000000,25.083,51.250
605.00000000,25.250,51.250
614.00000000,25.417,51.250
614.00000000,25.583,51.250
607.00000000,25.750,51.250
602.00000000,25.917,51.250
601.00000000,26.083,51.250
603.00000000,26.250,51.250
606.00000000,26.417,51.250
615.00000000,26.583,51.250
619.00000000,26.750,51.250
629.00000000,26.917,51.250
636.00000000,27.083,51.250
641.00000000,27.250,51.250
647.00000000,27.417,51.250
650.00000000,27.583,51.250
647.00000000,27.750,51.250
643.00000000,27.917,51.250
642.00000000,28.083,51.250
641.00000000,28.250,51.250
638.00000000,28.417,51.250
634.00000000,28.583,51.250
635.00000000,28.750,51.250
638.00000000,28.917,51.250
643.00000000,29.083,51.250
648.00000000,29.250,51.250
650.00000000,29.417,51.250
638.00000000,29.583,51.250
626.00000000,29.750,51.250
616.00000000,29.917,51.250
602.00000000,30.083,51.250
592.00000000,30.250,51.250
588.00000000,30.417,51.250
589.00000000,30.583,51.250
598.00000000,30.750,51.250
599.00000000,30.917,51.250
594.00000000,31.083,51.250
595.00000000,31.250,51.250
596.00000000,31.417,51.250
603.00000000,31.583,51.250
607.00000000,31.750,51.250
613.00000000,31.917,51.250
612.00000000,32.083,51.250
614.00000000,32.250,51.250
610.00000000,32.417,51.250
610.00000000,32.583,51.250
609.00000000,32.750,51.250
611.00000000,32.917,51.250
608.00000000,33.083,51.250
610.00000000,33.250,51.250
613.00000000,33.417,51.250
612.00000000,33.583,51.250
610.00000000,33.750,51.250
610.00000000,33.917,51.250
609.00000000,34.083,51.250
612.00000000,34.250,51.250
616.00000000,34.417,51.250
617.00000000,34.583,51.250
618.00000000,34.750,51.250
623.00000000,34.917,51.250
623.00000000,35.083,51.250
623.00000000,35.250,51.250
630.00000000,35.417,51.250
570.00000000,23.750,51.083
580.00000000,23.917,51.083
591.00000000,24.083,51.083
599.00000000,24.250,51.083
598.00000000,24.417,51.083
599.00000000,24.583,51.083
595.00000000,24.750,51.083
599.00000000,24.917,51.083
599.00000000,25.083,51.083
599.00000000,25.250,51.083
601.00000000,25.417,51.083
602.00000000,25.583,51.083
596.00000000,25.750,51.083
597.00000000,25.917,51.083
600.00000000,26.083,51.083
603.00000000,26.250,51.083
609.00000000,26.417,51.083
617.00000000,26.583,51.083
623.00000000,26.750,51.083
631.00000000,26.917,51.083
640.00000000,27.083,51.083
644.00000000,27.250,51.083
645.00000000,27.417,51.083
647.00000000,27.583,51.083
647.00000000,27.750,51.083
641.00000000,27.917,51.083
639.00000000,28.083,51.083
636.00000000,28.250,51.083
632.00000000,28.417,51.083
630.00000000,28.583,51.083
629.00000000,28.750,51.083
635.00000000,28.917,51.083
643.00000000,29.083,51.083
649.00000000,29.250,51.083
651.00000000,29.417,51.083
640.00000000,29.583,51.083
628.00000000,29.750,51.083
617.00000000,29.917,51.083
609.00000000,30.083,51.083
603.00000000,30.250,51.083
588.00000000,30.417,51.083
585.00000000,30.583,51.083
600.00000000,30.750,51.083
597.00000000,30.917,51.083
598.00000000,31.083,51.083
595.00000000,31.250,51.083
597.00000000,31.417,51.083
602.00000000,31.583,51.083
605.00000000,31.750,51.083
612.00000000,31.917,51.083
614.00000000,32.083,51.083
611.00000000,32.250,51.083
612.00000000,32.417,51.083
610.00000000,32.583,51.083
