latitude,longitude,scientific_name
48.4811820984,24.2853069305,Salamandra salamandra
49.0426306338,23.6822345304,Salamandra salamandra
48.410581,24.358188,Salamandra salamandra
48.35678476,24.40799611,Salamandra salamandra
48.4420073963,24.3519197838,Salamandra salamandra
48.3738899231,24.5086116791,Salamandra salamandra
48.1480511453,23.0583180333,Salamandra salamandra
48.365250955,24.400353469,Salamandra salamandra
48.2217079683,24.8954778353,Salamandra salamandra
48.4261559822,23.0415047563,Salamandra salamandra
48.321808026,24.7811291134,Salamandra salamandra
48.7112948667,22.4229389615,Salamandra salamandra
48.3674396556,24.496409744,Salamandra salamandra
48.5116904157,23.4752082825,Salamandra salamandra
49.0432464474,23.6822289425,Salamandra salamandra
48.1166927733,24.6900528297,Salamandra salamandra
48.4230748572,24.5026024414,Salamandra salamandra
48.9682266527,23.734389469,Salamandra salamandra
49.1813660181,23.5512463055,Salamandra salamandra
48.6823682694,22.4109422081,Salamandra salamandra
49.1126469026,23.6544098113,Salamandra salamandra
47.9406358645,24.1653319373,Salamandra salamandra
48.1295166667,25.351375,Salamandra salamandra
47.97262572,24.18565067,Salamandra salamandra
47.97420495,24.1772835,Salamandra salamandra
47.97817571,24.16761762,Salamandra salamandra
47.97808619,24.16617302,Salamandra salamandra
48.8133995306,22.9661384225,Salamandra salamandra
48.1052266348,25.7351953536,Salamandra salamandra
48.3952844987,23.0738675526,Salamandra salamandra
48.3943474717,23.074337833,Salamandra salamandra
48.3985517775,23.0737049432,Salamandra salamandra
48.3838085808,23.0724361928,Salamandra salamandra
48.4266888925,23.0936515263,Salamandra salamandra
48.4268299165,23.0928117713,Salamandra salamandra
48.4268427908,23.0933099435,Salamandra salamandra
48.4268031663,23.0931841033,Salamandra salamandra
48.3062112457,24.5569569245,Salamandra salamandra
49.0575909529,23.4560526162,Salamandra salamandra
48.7288818359,23.5010871887,Salamandra salamandra
48.6170371461,24.1455117613,Salamandra salamandra
48.36383833,24.60494167,Salamandra salamandra salamandra
48.6496162415,24.1942672729,Salamandra salamandra
48.2620695979,23.6434347003,Salamandra salamandra
48.2622693667,23.6373959532,Salamandra salamandra
49.0275172928,23.4098337406,Salamandra salamandra
48.4502615049,23.577738069,Salamandra salamandra
48.2810151968,23.6529713624,Salamandra salamandra
48.3970740775,24.4945885151,Salamandra salamandra
