VALUE,long,lat
5.95008326,32.250,52.4166666666667
5.92054176,32.417,52.4166666666667
5.84955215,32.583,52.4166666666667
5.72848988,32.750,52.4166666666667
5.71544790,32.917,52.4166666666667
5.76664591,33.083,52.4166666666667
5.88894796,33.250,52.4166666666667
5.92711449,33.417,52.4166666666667
5.94591665,33.583,52.4166666666667
5.90712500,33.750,52.4166666666667
5.82999992,33.917,52.4166666666667
5.76116657,34.083,52.4166666666667
6.56762505,30.917,52.25
6.47823954,31.083,52.25
6.37594795,31.250,52.25
6.31662512,31.417,52.25
6.25812483,31.583,52.25
6.20496893,31.750,52.25
6.19449997,31.917,52.25
6.09302092,32.083,52.25
5.97979164,32.250,52.25
5.97651052,32.417,52.25
5.89835405,32.583,52.25
5.83843756,32.750,52.25
5.79130220,32.917,52.25
5.76205206,33.083,52.25
5.87759399,33.250,52.25
5.98201036,33.417,52.25
5.92255211,33.583,52.25
5.76018763,33.750,52.25
5.59882307,33.917,52.25
5.60411453,34.083,52.25
5.69465637,34.250,52.25
6.68357277,24.583,52.0833333333333
6.71377087,24.750,52.0833333333333
6.72822905,24.917,52.0833333333333
6.83505201,25.083,52.0833333333333
6.90299988,25.250,52.0833333333333
6.96504164,25.417,52.0833333333333
7.02978134,25.583,52.0833333333333
7.02991676,25.750,52.0833333333333
7.04399967,25.917,52.0833333333333
7.13583326,26.083,52.0833333333333
6.63397932,30.750,52.0833333333333
6.63090611,30.917,52.0833333333333
6.50764608,31.083,52.0833333333333
6.40293741,31.250,52.0833333333333
6.31367731,31.417,52.0833333333333
6.28466654,31.583,52.0833333333333
6.29762506,31.750,52.0833333333333
6.32066631,31.917,52.0833333333333
6.25398970,32.083,52.0833333333333
6.18315601,32.250,52.0833333333333
6.06344795,32.417,52.0833333333333
5.96157265,32.583,52.0833333333333
5.89140606,32.750,52.0833333333333
5.85005236,32.917,52.0833333333333
5.85710430,33.083,52.0833333333333
5.99115610,33.250,52.0833333333333
5.99871874,33.417,52.0833333333333
5.83492708,33.583,52.0833333333333
5.64206266,33.750,52.0833333333333
5.49048948,33.917,52.0833333333333
5.50236464,34.083,52.0833333333333
5.57253122,34.250,52.0833333333333
7.21377087,24.250,51.9166666666667
7.20409393,24.417,51.9166666666667
7.20094776,24.583,51.9166666666667
7.23911476,24.750,51.9166666666667
7.25803137,24.917,51.9166666666667
7.30285406,25.083,51.9166666666667
7.34950018,25.250,51.9166666666667
7.45162487,25.417,51.9166666666667
7.46467686,25.583,51.9166666666667
7.43243742,25.750,51.9166666666667
7.41132307,25.917,51.9166666666667
7.35631227,26.083,51.9166666666667
7.29193735,26.250,51.9166666666667
7.21532297,26.417,51.9166666666667
7.11401033,26.583,51.9166666666667
7.02026033,26.750,51.9166666666667
6.93433332,26.917,51.9166666666667
6.80741644,27.083,51.9166666666667
6.68690634,27.250,51.9166666666667
6.56424999,30.583,51.9166666666667
6.63938522,30.750,51.9166666666667
6.60942698,30.917,51.9166666666667
6.49269772,31.083,51.9166666666667
6.40335417,31.250,51.9166666666667
6.37908316,31.417,51.9166666666667
6.42241669,31.583,51.9166666666667
6.41303110,31.750,51.9166666666667
6.46413517,31.917,51.9166666666667
6.42069817,32.083,51.9166666666667
6.33433342,32.250,51.9166666666667
6.24789572,32.417,51.9166666666667
6.19647932,32.583,51.9166666666667
6.09761477,32.750,51.9166666666667
6.09745836,32.917,51.9166666666667
6.20210409,33.083,51.9166666666667
6.30061436,33.250,51.9166666666667
6.37116671,33.417,51.9166666666667
6.26536465,33.583,51.9166666666667
6.14265633,33.750,51.9166666666667
6.11073923,33.917,51.9166666666667
6.06977081,34.083,51.9166666666667
6.00429153,34.250,51.9166666666667
6.03704166,34.417,51.9166666666667
6.11482286,34.583,51.9166666666667
7.49898958,23.583,51.75
7.39483309,23.750,51.75
7.35599995,23.917,51.75
7.31296873,24.083,51.75
7.24295855,24.250,51.75
7.19281244,24.417,51.75
7.24782276,24.583,51.75
7.30419779,24.750,51.75
7.37460423,24.917,51.75
7.46624994,25.083,51.75
7.57188559,25.250,51.75
7.65109396,25.417,51.75
7.65114594,25.583,51.75
7.60363531,25.750,51.75
7.51522923,25.917,51.75
7.47031260,26.083,51.75
7.39720821,26.250,51.75
7.22452068,26.417,51.75
7.14568758,26.583,51.75
7.10123968,26.750,51.75
6.96653128,26.917,51.75
6.83373976,27.083,51.75
6.66795826,27.250,51.75
6.56052065,27.417,51.75
6.44578123,27.583,51.75
6.35429192,27.750,51.75
6.31272936,27.917,51.75
6.32573938,28.083,51.75
6.40302086,28.250,51.75
6.47793770,28.417,51.75
6.54385424,28.583,51.75
6.78196859,28.917,51.75
6.83785391,29.083,51.75
6.88120842,29.250,51.75
6.72419786,30.417,51.75
6.79290628,30.583,51.75
6.64670849,30.750,51.75
6.56158352,30.917,51.75
6.53647947,31.083,51.75
6.58505201,31.250,51.75
6.57835436,31.417,51.75
6.60551023,31.583,51.75
6.61517715,31.750,51.75
6.56640625,31.917,51.75
6.47854185,32.083,51.75
6.44676018,32.250,51.75
6.34612513,32.417,51.75
6.33346891,32.583,51.75
6.26154184,32.750,51.75
